time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-23T22:47:24.464Z,31.4395,86.6091,10,4.4,mb,39,75,3.473,0.72,us,us7000l5va,2024-01-04T04:22:01.040Z,"269 km NNE of Saga, China",earthquake,10.08,1.885,0.09,35,reviewed,us,us
2023-10-23T08:43:37.339Z,31.607,88.1062,10,4.7,mb,139,35,3.221,0.48,us,us6000lhg2,2024-01-04T04:21:56.040Z,"271 km NNW of Rikaze, China",earthquake,6.95,1.833,0.051,120,reviewed,us,us
2023-10-22T11:46:45.520Z,27.8519,84.646,26.661,4,mb,24,163,1.92,0.24,us,us7000l6ai,2024-01-04T04:21:52.040Z,"28 km NE of Bharatpur, Nepal",earthquake,8.1,7.286,0.113,21,reviewed,us,us
2023-10-22T01:54:21.100Z,27.8879,84.7252,25.706,5.2,mb,101,29,1.848,0.82,us,us6000lh8c,2024-03-09T02:50:26.658Z,"36 km NE of Bharatpur, Nepal",earthquake,5.82,4.541,0.038,230,reviewed,us,us
2023-10-18T16:18:48.676Z,29.6681,81.357,10,4.5,mb,24,115,7.955,0.72,us,us6000lgeh,2023-12-26T21:24:33.040Z,"60 km NE of Dipayal, Nepal",earthquake,12.92,1.977,0.204,7,reviewed,us,us
2023-10-16T03:41:40.294Z,30.0924,80.7774,10,4.2,mb,36,69,4.558,0.57,us,us6000lfu1,2023-12-26T21:24:22.040Z,"36 km NE of Dārchulā, Nepal",earthquake,9.37,1.886,0.132,16,reviewed,us,us
2023-10-14T21:53:08.277Z,31.8115,79.3974,10,4.3,mb,43,154,5.481,0.6,us,us6000lflt,2023-12-16T22:13:09.040Z,"140 km N of Joshīmath, India",earthquake,5.54,1.864,0.122,19,reviewed,us,us
2023-10-12T20:06:44.075Z,29.5722,81.2129,10,4.4,mb,48,168,3.985,0.83,us,us6000lf7f,2023-12-16T22:13:08.040Z,"43 km NE of Dipayal, Nepal",earthquake,9.73,1.927,0.092,34,reviewed,us,us
2023-10-11T18:37:21.967Z,29.5869,81.1801,10,4.8,mb,88,46,4.017,0.62,us,us6000lewe,2023-12-16T22:13:07.040Z,"43 km NNE of Dipayal, Nepal",earthquake,8.19,1.811,0.051,119,reviewed,us,us
2023-10-08T19:46:32.191Z,30.798,86.3755,10,4.4,mb,65,40,3.137,0.59,us,us6000le2i,2023-12-16T22:13:05.040Z,"197 km NE of Saga, China",earthquake,6.63,1.851,0.075,51,reviewed,us,us
2023-10-08T13:37:04.576Z,31.7268,79.3465,10,4.5,mb,34,161,5.471,0.99,us,us6000le17,2023-12-16T22:13:05.040Z,"131 km N of Joshīmath, India",earthquake,8.96,1.91,0.131,17,reviewed,us,us
2023-10-07T06:00:01.972Z,29.5133,81.2055,10,5,mb,112,46,3.966,0.51,us,us6000ldp9,2023-12-14T21:26:55.040Z,"38 km NE of Dipayal, Nepal",earthquake,8.76,1.859,0.055,105,reviewed,us,us
2023-10-03T23:58:04.608Z,29.7245,81.2904,10,4.3,mb,22,149,3.992,0.48,us,us6000lcn8,2023-12-14T21:26:52.040Z,"61 km NNE of Dipayal, Nepal",earthquake,11.99,1.947,0.177,9,reviewed,us,us
2023-10-03T19:05:41.024Z,29.5231,81.1691,10,4.4,mb,24,169,3.999,0.45,us,us6000ldjg,2023-12-14T21:26:55.040Z,"36 km NE of Dipayal, Nepal",earthquake,5.96,1.926,0.161,11,reviewed,us,us
2023-10-03T11:53:17.879Z,29.5106,81.1706,10,4.5,mb,47,79,3.992,0.38,us,us6000lchg,2023-12-14T21:26:51.040Z,"35 km NE of Dipayal, Nepal",earthquake,6.85,1.672,0.088,38,reviewed,us,us
2023-10-03T11:34:10.972Z,29.5637,81.257,10,4.8,mb,76,45,3.946,0.39,us,us6000lch4,2023-12-14T21:26:51.040Z,"45 km NE of Dipayal, Nepal",earthquake,4.93,1.841,0.068,67,reviewed,us,us
2023-10-03T09:33:05.019Z,29.3074,81.1092,10,4.2,mb,20,134,3.963,0.79,us,us6000ldjs,2023-12-14T21:26:55.040Z,"17 km ENE of Dipayal, Nepal",earthquake,13.41,1.945,0.167,10,reviewed,us,us
2023-10-03T09:28:43.898Z,29.2397,81.2051,10,4.8,mb,80,81,3.861,0.28,us,us6000ldiq,2023-12-14T21:26:54.040Z,"25 km E of Dipayal, Nepal",earthquake,8.06,1.815,0.07,64,reviewed,us,us
2023-10-03T09:21:03.018Z,29.4973,81.242,13,5.7,mww,226,23,3.93,0.33,us,us6000lcgj,2023-12-14T21:26:51.040Z,"39 km NE of Dipayal, Nepal",earthquake,4.47,1.784,0.052,36,reviewed,us,us
2023-10-03T08:55:50.480Z,29.459,81.2188,10,4.9,mb,83,49,3.933,0.59,us,us6000lcfg,2023-12-14T21:26:51.040Z,"34 km NE of Dipayal, Nepal",earthquake,7.34,1.76,0.059,91,reviewed,us,us
2023-10-03T03:00:28.125Z,31.0357,86.3467,10,4.1,mb,39,62,3.356,0.56,us,us6000lcec,2023-12-14T21:26:51.040Z,"218 km NNE of Saga, China",earthquake,7.39,1.821,0.107,24,reviewed,us,us
2023-08-18T17:49:38.408Z,28.2888,87.1512,79.496,4.3,mb,56,79,1.725,0.52,us,us7000kpar,2023-10-27T21:39:04.040Z,"50 km NE of Lobuche, Nepal",earthquake,7.89,6.429,0.075,57,reviewed,us,us
2023-08-18T10:06:12.181Z,31.6469,82.939,10,4.4,mb,65,77,4.34,0.39,us,us7000kp70,2023-10-27T21:39:03.040Z,"225 km NE of Burang, China",earthquake,8.47,1.873,0.088,37,reviewed,us,us
2023-08-05T20:04:11.934Z,30.2183,80.7013,10,4.3,mb,50,145,4.677,0.43,us,us6000ky67,2023-10-07T21:38:59.040Z,"western Xizang-India border region",earthquake,6.21,1.894,0.108,24,reviewed,us,us
2023-07-20T22:39:44.949Z,26.8685,75.8906,10,4.3,mb,37,199,7.129,0.44,us,us7000kh99,2024-06-08T19:58:22.813Z,"11 km ESE of Jaipur, India",earthquake,9.9,1.99,0.125,18,reviewed,us,us
2023-07-07T05:20:53.879Z,31.536,78.3517,10,4.3,mb,29,123,4.78,0.82,us,us6000kqna,2023-09-09T21:54:54.040Z,"53 km E of Sarāhan, India",earthquake,8.02,1.857,0.147,13,reviewed,us,us
2023-06-18T16:34:49.119Z,29.8241,68.4073,10,4.2,mb,33,170,4.734,0.68,us,us7000k9e3,2023-08-26T20:54:22.040Z,"39 km SSW of Duki, Pakistan",earthquake,9.36,1.941,0.136,15,reviewed,us,us
2023-06-12T01:53:56.728Z,29.71,81.5777,27.16,4.3,mb,17,179,3.766,0.41,us,us7000k9l7,2023-08-21T04:19:24.040Z,"75 km SSE of Burang, China",earthquake,11.37,7.127,0.217,6,reviewed,us,us
2023-05-23T22:21:48.564Z,29.6551,81.2484,10,4.3,mb,47,150,3.993,0.57,us,us7000k3ch,2023-07-29T22:00:32.040Z,"52 km NE of Dipayal, Nepal",earthquake,9.65,1.914,0.104,26,reviewed,us,us
2023-05-06T08:01:03.160Z,28.9028,86.6245,42.645,4.3,mb,34,97,1.617,0.67,us,us6000k9zr,2023-07-15T22:10:06.040Z,"107 km N of Lobuche, Nepal",earthquake,6.04,10.959,0.104,26,reviewed,us,us
2023-05-04T04:20:30.480Z,30.5173,79.0377,27.66,4.2,mb,18,166,6.092,0.57,us,us6000kau8,2023-07-15T22:10:22.040Z,"Uttaranchal, India",earthquake,12.55,5.644,0.264,4,reviewed,us,us
2023-04-27T19:45:53.627Z,29.6212,81.5483,10,5.1,mb,75,59,3.746,0.72,us,us7000jwdq,2023-07-11T01:44:47.040Z,"72 km NE of Dipayal, Nepal",earthquake,8.55,1.816,0.037,241,reviewed,us,us
2023-04-27T18:13:51.853Z,29.5729,81.5302,10,4.5,mb,78,167,4.907,0.68,us,us7000jwcr,2023-07-11T01:44:46.040Z,"66 km ENE of Dipayal, Nepal",earthquake,10.23,1.868,0.075,52,reviewed,us,us
2023-04-23T16:27:48.460Z,30.3208,70.9766,10,4.8,mb,40,87,3.849,0.43,us,us6000k6kk,2023-07-11T01:44:40.040Z,"16 km S of Kot Addu, Pakistan",earthquake,10.49,1.906,0.088,40,reviewed,us,us
2023-04-12T00:05:08.100Z,26.0018,87.3828,10,4,mb,38,97,2.015,0.6,us,us6000k3n5,2023-06-17T21:36:47.040Z,"Nepal-India border region",earthquake,8.95,1.917,0.089,34,reviewed,us,us
2023-04-08T14:44:49.140Z,28.6582,86.7146,68.028,4.3,mb,28,96,0.702,0.43,us,us6000k2vg,2024-01-18T19:44:58.951Z,"79 km N of Lobuche, Nepal",earthquake,9.5,9.219,0.109,24,reviewed,us,us
2023-04-01T05:42:20.397Z,27.6685,86.1761,10,4.5,mb,37,84,0.806,0.62,us,us6000k1b0,2023-06-03T22:06:16.040Z,"38 km SSE of Kodāri̇̄, Nepal",earthquake,6.89,1.919,0.086,40,reviewed,us,us
2023-03-24T04:06:24.411Z,29.6326,81.828,30.882,4.2,mb,23,171,3.538,0.8,us,us7000jmc0,2023-05-26T21:54:15.040Z,"52 km NW of Jumla, Nepal",earthquake,13.44,7.587,0.152,12,reviewed,us,us
2023-03-02T08:12:56.235Z,28.3307,87.3045,10,4,mb,28,106,0.572,0.38,us,us7000jgsb,2023-05-08T02:00:18.040Z,"64 km NE of Lobuche, Nepal",earthquake,2.61,1.905,0.119,19,reviewed,us,us
2023-02-26T07:06:04.699Z,29.7352,81.127,10,4.3,mb,18,154,4.123,0.43,us,us7000jhnm,2023-05-08T01:59:29.040Z,"Nepal",earthquake,9.8,1.938,0.188,12,reviewed,us,us
2023-02-22T08:00:22.588Z,29.6254,81.5737,20.937,4.8,mb,77,52,3.728,0.73,us,us6000jqqz,2023-04-29T21:57:25.040Z,"70 km WNW of Jumla, Nepal",earthquake,9.15,4.447,0.064,76,reviewed,us,us
2023-02-12T22:45:05.505Z,27.986,88.0003,60.903,4,mb,40,66,2.416,0.81,us,us6000jni5,2023-04-22T21:33:03.040Z,"73 km NW of Mangan, India",earthquake,9.32,9.377,0.102,26,reviewed,us,us
2023-02-12T09:01:06.922Z,31.682,69.9963,10,4.2,mb,29,120,2.961,0.74,us,us6000jqbi,2023-04-22T21:33:20.040Z,"51 km WSW of Kulachi, Pakistan",earthquake,10.11,1.926,0.141,14,reviewed,us,us
2023-01-24T08:58:33.123Z,29.5825,81.6638,33.11,5.4,mww,127,39,3.639,0.75,us,us6000jivm,2023-04-27T20:01:02.340Z,"60 km NW of Jumla, Nepal",earthquake,7.63,3.669,0.098,10,reviewed,us,us
2023-01-12T09:58:36.471Z,31.6045,82.9741,10,4.2,mb,32,77,4.289,0.9,us,us7000j3v1,2023-03-20T06:03:28.040Z,"western Xizang",earthquake,4.65,1.879,0.159,11,reviewed,us,us
2023-01-04T10:04:28.046Z,31.7032,73.979,10,4.2,mb,16,182,2.032,0.68,us,us7000j22v,2023-03-11T22:51:39.040Z,"1 km SSW of Shekhupura, Pakistan",earthquake,8.81,1.994,0.264,4,reviewed,us,us
2023-01-01T21:24:15.849Z,29.7295,70.1934,10,4.3,mb,33,138,4.706,0.68,us,us7000j1h6,2023-03-11T22:51:30.040Z,"25 km NW of Dajal, Pakistan",earthquake,9.06,1.935,0.153,12,reviewed,us,us
2022-12-31T19:49:41.613Z,28.7191,76.6286,10,4.1,mb,21,179,5.696,0.57,us,us7000j1aj,2023-03-07T19:00:02.040Z,"Haryana, India",earthquake,9.35,1.929,0.158,13,reviewed,us,us
2022-12-27T20:22:03.128Z,28.4898,83.1553,18.597,4.6,mb,119,58,1.997,0.52,us,us7000j0i3,2023-03-07T18:59:53.040Z,"48 km WNW of B?glung, Nepal",earthquake,8.13,3.731,0.054,117,reviewed,us,us
2022-12-27T19:38:12.218Z,28.926,83.6137,24.596,4,mb,36,85,1.847,0.63,us,us7000j0hw,2023-03-07T18:59:53.040Z,"55 km N of Chitre, Nepal",earthquake,9.89,5.7,0.106,30,reviewed,us,us
2022-12-23T01:31:21.071Z,28.4999,83.1015,10,4.5,mb,27,100,2.045,0.65,us,us7000j29h,2023-02-28T23:06:46.040Z,"Nepal",earthquake,10.66,1.894,0.14,15,reviewed,us,us
2022-12-23T01:30:55.904Z,28.5471,83.0809,10,4.2,mb,21,134,2.078,0.96,us,us7000j29m,2023-02-28T23:06:46.040Z,"58 km WNW of B?glung, Nepal",earthquake,11.51,1.938,0.187,9,reviewed,us,us
2022-11-16T16:02:53.870Z,31.8986,76.9792,10,4.4,mb,46,87,3.581,0.56,us,us7000iq4z,2023-01-28T19:58:19.040Z,"13 km WSW of Kulu, India",earthquake,3.67,1.816,0.102,28,reviewed,us,us
2022-11-13T22:12:16.150Z,31.6076,73.0214,10,4.4,mb,38,174,2.048,0.68,us,us7000ipim,2023-01-28T19:58:13.040Z,"13 km SSE of Chiniot, Pakistan",earthquake,9.02,1.981,0.126,18,reviewed,us,us
2022-11-12T14:27:05.131Z,29.3523,81.1777,10,5.2,mww,87,46,3.924,0.54,us,us7000ipbc,2024-01-18T17:21:41.677Z,"25 km ENE of Dipayal, Nepal",earthquake,8.58,1.808,0.098,10,reviewed,us,us
2022-11-09T23:28:02.358Z,29.352,81.1564,10,4.3,mb,30,187,3.942,0.29,us,us7000innz,2023-01-21T19:27:17.040Z,"Nepal",earthquake,10.26,1.953,0.154,12,reviewed,us,us
2022-11-09T00:57:14.321Z,29.9803,80.2903,22.974,4.4,mb,22,166,4.884,0.63,us,us7000ine2,2023-01-21T19:27:15.040Z,"26 km WNW of Dh?rchula, India",earthquake,9.97,6.418,0.117,21,reviewed,us,us
2022-11-08T20:27:22.316Z,29.2917,81.1593,11,5.7,mww,268,13,3.917,0.69,us,us7000incn,2023-01-21T19:27:15.040Z,"Nepal",earthquake,6.94,1.653,0.057,30,reviewed,us,us
2022-11-08T15:22:35.973Z,29.3448,81.1922,10,4.7,mb,55,80,3.91,0.67,us,us7000inan,2023-01-21T19:27:15.040Z,"26 km ENE of Dipayal, Nepal",earthquake,8.65,1.834,0.088,42,reviewed,us,us
2022-11-07T23:07:22.073Z,28.9207,86.6701,10,4.2,mb,45,66,0.967,0.91,us,us7000in6q,2023-01-21T19:27:13.040Z,"108 km N of Lobujya, Nepal",earthquake,7.51,1.886,0.093,32,reviewed,us,us
2022-11-06T16:28:40.298Z,27.9764,88.2153,10,4,mb,27,66,1.242,0.52,us,us7000imxk,2023-01-21T19:27:10.040Z,"59 km NNW of Mangan, India",earthquake,9.6,1.911,0.143,13,reviewed,us,us
2022-11-06T03:03:03.944Z,30.7102,78.5669,22.322,4.6,mb,53,100,5.364,0.75,us,us7000imtm,2023-01-21T19:27:09.040Z,"Uttaranchal, India",earthquake,8.67,1.881,0.098,31,reviewed,us,us
2022-11-01T03:13:53.303Z,23.0012,80.1303,10,4.3,mb,15,125,6.67,0.86,us,us7000imin,2023-01-12T23:11:30.040Z,"13 km SE of Barela, India",earthquake,8.08,1.821,0.188,8,reviewed,us,us
2022-10-30T03:41:50.868Z,29.5573,81.0921,10,4.5,mb,26,168,4.074,0.61,us,us7000ila6,2023-01-12T23:10:35.040Z,"36 km NNE of Dipayal, Nepal",earthquake,8.9,1.689,0.164,11,reviewed,us,us
2022-10-19T10:08:35.308Z,27.8248,86.0362,22.2,4.2,mb,10,71,0.671,0.9,us,us6000iw2g,2022-12-31T23:03:48.040Z,"16 km SSE of Kod?ri??, Nepal",earthquake,5.95,5.963,0.159,11,reviewed,us,us
2022-10-19T09:22:40.123Z,27.894,86.0386,23.943,4.9,mb,51,56,0.679,0.74,us,us6000iut9,2024-01-18T17:13:59.271Z,"10 km SE of Kod?ri??, Nepal",earthquake,6.4,5.545,0.076,54,reviewed,us,us
2022-10-13T23:58:22.572Z,23.3661,82.4336,10,4.9,mb,102,42,5.108,0.75,us,us6000itig,2022-12-17T22:54:04.040Z,"17 km NW of Baikunthpur, India",earthquake,8.49,1.812,0.048,137,reviewed,us,us
2022-09-19T00:39:26.290Z,31.2049,82.7913,16.108,4.1,mb,36,140,4.027,0.4,us,us7000i962,2022-11-26T20:57:40.040Z,"184 km ENE of Burang, China",earthquake,9.34,4.869,0.135,15,reviewed,us,us
2022-08-19T19:42:42.048Z,28.0619,81.1968,10,4.9,mb,114,80,3.621,0.73,us,us6000ic7w,2022-10-28T02:27:12.040Z,"12 km NE of Dhaurahra, India",earthquake,8.51,1.804,0.057,103,reviewed,us,us
2022-08-05T23:41:04.059Z,27.7936,84.9833,10,4.4,mb,42,89,0.262,0.72,us,us6000i8js,2022-10-19T09:42:19.441Z,"31 km WNW of Kirtipur, Nepal",earthquake,7.46,1.901,0.096,31,reviewed,us,us
2022-07-31T02:28:08.777Z,27.1316,86.7827,10,5.1,mb,106,51,1.493,0.7,us,us6000i6vr,2022-10-12T14:49:01.040Z,"26 km W of Bhojpur, Nepal",earthquake,6.84,1.776,0.037,232,reviewed,us,us
2022-07-28T19:26:46.105Z,23.3819,82.5056,9.957,4.7,mb,66,92,5.062,0.69,us,us6000i69p,2022-10-01T22:09:27.040Z,"14 km NNW of Baikunthpur, India",earthquake,9.74,4.111,0.056,111,reviewed,us,us
2022-07-25T00:22:09.402Z,27.8961,85.5825,10,4.3,mb,55,55,0.285,0.63,us,us7000ht82,2022-10-01T22:09:49.040Z,"20 km NNE of Nagarkot, Nepal",earthquake,5.95,1.88,0.085,39,reviewed,us,us
2022-07-24T07:06:54.744Z,30.7594,78.396,20.888,4,mb,23,169,5.215,0.58,us,us6000i7rv,2022-10-01T22:09:32.040Z,"5 km NW of Uttark?shi, India",earthquake,10.63,3.548,0.184,9,reviewed,us,us
2022-07-15T22:22:12.994Z,29.0575,69.5091,10,4.6,mb,111,56,5.481,0.69,us,us6000i2w3,2022-09-24T21:25:31.040Z,"34 km E of Dera Bugti, Pakistan",earthquake,9.88,1.837,0.052,109,reviewed,us,us
2022-07-11T02:40:01.281Z,23.3845,82.4802,10,4.6,mb,69,85,5.071,0.62,us,us6000i1hw,2022-09-24T21:25:58.040Z,"15 km NNW of Baikunthpur, India",earthquake,10.19,1.863,0.073,56,reviewed,us,us
2022-07-10T14:04:39.640Z,29.6405,80.8736,10,4.2,mb,29,166,4.281,0.5,us,us6000i3gw,2022-09-24T21:26:01.040Z,"37 km SE of D?rchul?, Nepal",earthquake,11.5,1.9,0.141,14,reviewed,us,us
2022-07-09T00:52:02.519Z,16.9254,75.7188,10,4.5,mb,66,77,9.694,0.57,us,us6000i13p,2022-09-24T21:26:10.040Z,"Karnataka, India",earthquake,10.91,1.841,0.077,50,reviewed,us,us
2022-06-27T22:49:50.675Z,28.8231,76.6692,10,3.7,mb,14,202,5.624,0.44,us,us7000hkq7,2022-11-12T17:33:52.134Z,"11 km SE of Rohtak, India",earthquake,8,2,0.251,4,reviewed,us,us
2022-06-22T22:11:46.712Z,28.3742,83.8247,10,4.6,mb,97,44,1.406,0.46,us,us7000hjf5,2022-08-28T03:20:18.040Z,"14 km ESE of Chitre, Nepal",earthquake,8.1,1.8,0.061,81,reviewed,us,us
2022-06-10T20:51:21.586Z,27.7199,85.4181,15.03,3.6,mb,19,155,0.146,0.73,us,us7000hgnj,2022-08-13T21:52:08.040Z,"5 km NE of Madhyapur Thimi, Nepal",earthquake,6,5.6,0.151,12,reviewed,us,us
2022-05-21T02:45:09.223Z,28.2186,86.2888,70.83,4.2,mb,22,101,0.529,1.16,us,us6000hmu1,2022-08-02T19:50:36.040Z,"43 km NE of Kod?ri??, Nepal",earthquake,11.9,8.5,0.159,12,reviewed,us,us
2022-05-11T04:33:11.628Z,29.9682,80.4219,33.06,4.9,mb,59,100,4.775,0.4,us,us7000h8ii,2022-07-22T18:31:12.040Z,"16 km NW of Dh?rchula, India",earthquake,8.2,3.9,0.044,163,reviewed,us,us
2022-04-24T09:56:45.185Z,31.7278,83.1271,10,4.3,mb,52,75,4.338,0.52,us,us7000h6l9,2022-07-05T03:40:07.040Z,"244 km NE of Burang, China",earthquake,4,1.9,0.088,37,reviewed,us,us
